State,District,University Type,Name of the University,Location (Rural/ Urban),Women's University (Yes/No),List of Attached Colleges and Institutions - State,List of Attached Colleges and Institutions - District,List of Attached Colleges and Institutions - Type,List of Attached Colleges and Institutions - Management,List of Attached Colleges and Institutions - Name,List of Attached Colleges and Institutions - Location (Rural/Urban),List of Attached Colleges and Institutions - Women's College (Yes/No),List of Attached Colleges and Institutions - Whether Autonomous
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"Mahati College of Pharmacy, Madanaplle (Id: C-26964)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"Sri Sai College of Engineering & Technology, Loluru. Anantapur (Id: C-26965)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,Akshaya Bharathi Institute of Technology Siddavatam (P&M) (Id: C-26967),Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,"Vagdevi Intitute of Technology, Proddatur (Id: C-26973)",Rural,No,Yes
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"Intell Engineering College, Anantapur (Id: C-26871)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Kurnool,Affiliated College,Private Un-Aided,"Bheemi Reddy Institute of Management Science, Adoni (Id: C-26848)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Kurnool,Affiliated College,Private Un-Aided,Indira Priyadarshini College of Engg & Technology for Women Kurnool (Id: C-26851),Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Sri Potti Sriramulu Nellore,Affiliated College,Private Un-Aided,"Ratnam Institute of Pharmacy, Pidathapolur (Id: C-26845)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Sri Potti Sriramulu Nellore,Affiliated College,Private Un-Aided,"Atmakur Engineering College, Atmakur (Id: C-26862)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,Sree Rama Educational Society Group of Institutions (Id: C-26864),Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"Seshachala Institute of Technology,Tirupati (Id: C-26863)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,K.S.R.M. College of Engineering (Id: C-26868),Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,Sri Rama Krishna Institute of Technology (Id: C-26846),Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Sri Potti Sriramulu Nellore,Affiliated College,Private Un-Aided,Priyadarshini College of Engineering (G1) Sullurpet (Id: C-26957),Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,Rojoli Veera Reddy Padmaja Engineering College for Women (Id: C-26870),Rural,Yes,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"Intellectual Institute of Technology, Anantapur (Id: C-26869)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"Sri Rama College of Engineering College, Tirupathi (Id: C-26872)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"Chadalawada Ramanamma Engineering College , Tirupati (Id: C-26979)",Rural,No,No
